accuracy,loss,val_accuracy,val_loss,learning_rate
0.8329116106033325,0.5836226940155029,0.9201070070266724,0.2882017195224762,0.0010000000474974513
0.8891488313674927,0.39735618233680725,0.9373088479042053,0.22978858649730682,0.0010000000474974513
0.8980283737182617,0.355834037065506,0.9382645487785339,0.25281551480293274,0.0010000000474974513
0.9086265563964844,0.3275005519390106,0.9350152611732483,0.2691618800163269,0.0010000000474974513
0.9177924990653992,0.28685635328292847,0.9380733966827393,0.2587701082229614,0.0010000000474974513
0.9340717196464539,0.2181636542081833,0.9491590261459351,0.20982712507247925,0.0005000000237487257
0.9384160041809082,0.19520816206932068,0.9418960213661194,0.2350752204656601,0.0005000000237487257
0.9449563026428223,0.17893540859222412,0.953937292098999,0.1910274624824524,0.0005000000237487257
0.9455769062042236,0.17691823840141296,0.9541284441947937,0.21106937527656555,0.0005000000237487257
0.9483935832977295,0.16894009709358215,0.9525994062423706,0.19700375199317932,0.0005000000237487257
0.9523559212684631,0.1547047197818756,0.9510703086853027,0.19221144914627075,0.0005000000237487257
0.9568434357643127,0.1298855096101761,0.9524082541465759,0.1850886344909668,0.0002500000118743628
0.96028071641922,0.1250162422657013,0.9552752375602722,0.17810936272144318,0.0002500000118743628
0.9602329730987549,0.11982732266187668,0.9506880640983582,0.19065146148204803,0.0002500000118743628
0.9609968066215515,0.11990837007761002,0.9529816508293152,0.18398486077785492,0.0002500000118743628
0.9623812437057495,0.11554190516471863,0.9548929929733276,0.18044203519821167,0.0002500000118743628
0.9673461318016052,0.10181556642055511,0.9550840854644775,0.18446959555149078,0.0001250000059371814
0.9666300415992737,0.0992390587925911,0.954701840877533,0.18713271617889404,0.0001250000059371814
